REFDATE,NOC,NOC_job_vacancies,NOC_proportion_of_job_vacancies,NOC_average_offered_hourly_wage,ECON_assets_share_of_net_worth,ECON_debt_to_disposable_income,ECON_financial_assets_share_of_net_worth,ECON_financial_assets_share_of_total_assets,ECON_financial_assets_to_nonfinancial_assets,ECON_ liabilities_share_of_net_worth,ECON_liabilities_share_of_total_assets,ECON_net_worth_share_of_disposable_income,ECON_nonfinancial_assets_share_of_total_assets,ECON_owners_equity_share_of_real_estate,ECON_real_estate_share_of_disposable_income,ECON_real_estate_share_of_total_assets,Persons_in_thousands,INTEREST_RATE_fixed_variable,Core_inflation_factor_CPI_common,Core_inflation_weighted_median_CPI_median,Core_inflation_trimmed_mean_CPI_trim,Core_inflation_weighted_median_CPI_median_index,Core_inflation_trimmed_mean_CPI_trim_index,Core_inflation_all_items_excluding_8,Core_inflation_all_items_excluding_8_SA,GDP_by_income_compensation_of_employees,GDP_by_income_wages_and_salaries,GDP_by_industry_chained_2017_dollars_SA,GDP_by_industry_2017_constant_prices_SA,GDP_by_2017_constant_prices_TDA
44287,Aerospace engineers [21390],180,100,39.2,116.9,186.3,59.8,51.1,104.7,16.9,14.5,1102.5,48.9,76.4,569.7,44.2,1673.7,2.06,2.1,2.3,2.4,188.2,184.4,138.2,138,1247592,1079732,140063,140694,11747
44317,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1690.3,2.12,2.5,2.5,2.8,188.7,185,138.8,138.4,#N/A,#N/A,140510,140862,11849
44348,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1709.4,2.12,2.5,2.5,2.8,189.2,185.5,139.2,139,#N/A,#N/A,141576,142004,12090
44378,Aerospace engineers [21390],175,100,35.25,116.8,177.4,58.2,49.8,99.2,16.8,14.4,1055.8,50.2,77.2,561.5,45.5,1716.1,2.16,2.7,2.8,3.2,189.9,186.4,140,139.6,1284224,1112576,143463,143811,12087
44409,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1715.6,2.18,2.9,2.9,3.4,190.5,187.1,140.3,140.1,#N/A,#N/A,145060,144818,12042
44440,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1719.5,2.15,3.1,3,3.5,191.1,187.7,140.7,140.7,#N/A,#N/A,147429,147552,12311
44470,Aerospace engineers [21390],220,100,35.55,116.2,181.5,56.8,48.9,95.7,16.2,13.9,1122.8,51.1,78.3,607.5,46.6,1715.3,2.12,3,3,3.5,191.6,188.3,141.5,141.2,1314684,1139588,148593,148490,12370
44501,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1750,2.17,3.1,3.1,3.5,192.2,188.8,141.5,141.6,#N/A,#N/A,149643,149903,12472
44531,Aerospace engineers [21390],#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1745.8,2.25,3.2,3.3,4,192.9,189.7,141.5,142.4,#N/A,#N/A,150756,151102,12453
44562,Aerospace engineers [21390],0,100,0,116.3,194.3,55.3,47.5,90.5,16.3,14,1193.8,52.5,78.7,665.4,47.9,1735.4,2.28,3.7,3.7,4.2,193.9,190.6,142.6,143.2,1358480,1177364,152010,152144,12378
